Date,GOOG
2021-06-29,125.16197204589844
2021-06-30,124.46426391601562
2021-07-01,125.50960540771484
2021-07-02,127.8441162109375
2021-07-06,128.88897705078125
2021-07-07,129.19338989257812
2021-07-08,128.2989959716797
2021-07-09,128.69381713867188
2021-07-12,129.67657470703125
2021-07-13,130.1041717529297
2021-07-14,131.18475341796875
2021-07-15,130.3743133544922
2021-07-16,130.94940185546875
2021-07-19,128.37550354003906
2021-07-20,130.21043395996094
2021-07-21,131.69924926757812
2021-07-22,132.4222869873047
2021-07-23,136.87928771972656
2021-07-26,138.6953887939453
2021-07-27,135.86671447753906
2021-07-28,135.45455932617188
2021-07-29,135.61245727539062
2021-07-30,134.3019256591797
2021-08-02,135.06521606445312
2021-08-03,135.35374450683594
2021-08-04,135.1039581298828
2021-08-05,136.00926208496094
2021-08-06,136.10459899902344
2021-08-09,137.0640411376953
2021-08-10,137.15789794921875
2021-08-11,136.75364685058594
2021-08-12,137.4488983154297
2021-08-13,137.46530151367188
2021-08-16,137.97183227539062
2021-08-17,136.3673095703125
2021-08-18,135.64178466796875
2021-08-19,135.98292541503906
2021-08-20,137.49607849121094
2021-08-23,140.14048767089844
2021-08-24,141.43064880371094
2021-08-25,141.9783935546875
2021-08-26,141.15701293945312
2021-08-27,143.5680389404297
2021-08-30,144.4807891845703
2021-08-31,144.47332763671875
2021-09-01,144.85073852539062
2021-09-02,143.23878479003906
2021-09-03,143.79098510742188
2021-09-07,144.52993774414062
2021-09-08,143.8987579345703
2021-09-09,143.92855834960938
2021-09-10,140.95640563964844
2021-09-13,142.4899139404297
2021-09-14,142.4313201904297
2021-09-15,144.21905517578125
2021-09-16,143.39222717285156
2021-09-17,140.50201416015625
2021-09-20,138.07211303710938
2021-09-21,138.6973419189453
2021-09-22,139.98056030273438
2021-09-23,140.862548828125
2021-09-24,141.66354370117188
2021-09-27,140.5392608642578
2021-09-28,135.25839233398438
2021-09-29,133.60667419433594
2021-09-30,132.35972595214844
2021-10-01,135.5349884033203
2021-10-04,132.85581970214844
2021-10-05,135.25144958496094
2021-10-06,136.4204559326172
2021-10-07,138.239501953125
2021-10-08,139.1040802001953
2021-10-11,137.90379333496094
2021-10-12,135.78378295898438
2021-10-13,136.96273803710938
2021-10-14,140.4508514404297
2021-10-15,140.71206665039062
2021-10-18,141.9888153076172
2021-10-19,142.844482421875
2021-10-20,141.447021484375
2021-10-21,141.81007385253906
2021-10-22,137.68280029296875
2021-10-25,137.8297576904297
2021-10-26,138.7227020263672
2021-10-27,145.43228149414062
2021-10-28,145.13580322265625
2021-10-29,147.2627410888672
2021-11-01,142.79681396484375
2021-11-02,144.87159729003906
2021-11-03,145.79229736328125
2021-11-04,147.6724395751953
